;Chomes;Cocorocas;Mata_redonda
Actitis_macularis;0;1;0
Amazona_albifrons;0;1;1
Ardea_alba;1;1;1
Arenaria_interpes;0;148;1
Brotogeris_jugularis;0;4;0
Bubulcus_ibis;0;0;167
Buteo_albonotatus;0;1;0
Buteo_plagiatus;0;1;0
Buteogallus_anthracinus;1;1;0
Butorides_virescens;1;1;0
Calidris_mauri;60;177;0
Calidris_minutilla;15;1;0
Calocitta_formosa;0;0;1
Campylorhynchus_rufinucha;1;0;1
Caracara_cheriway;0;0;25
Cathartes_aura;3;1;0
Charadrius_semipalmatus;23;50;0
Charadrius_wilsonia;0;80;0
Columbina_inca;5;4;1
Columbina_passerina;8;1;2
Coragyps_atratus;3;15;6
Crotophaga_sulcirostris;0;0;8
Egretta_caerulea;12;28;0
Egretta_thula;5;1;0
Egretta_tricolor;0;1;0
Eudocimus_albus;1;79;0
Eumomota_superciliosa;0;0;1
Eupsittula_canicularis;2;3;0
Falco_columbarius;0;1;0
Falco_peregrinus;1;0;0
Fregata_magnificens;4;2;0
Gelochelidon_nilotica;0;121;0
Herpetotheres_cachinnans;0;0;1
Himantopus_mexicanus;107;85;0
Hirundo_rustica;0;1;90
Hydroprogne_caspia;1;0;0
Icterus_pustulatus;1;1;0
Ictinia_plumbea;2;0;0
Jabiru_mycteria;0;0;21
Jacana_spinosa;0;0;2
Leptotila_verreauxi;0;0;2
Leucophaeus_atricilla;3;9;0
Limnodromus_griseus;30;87;0
Limosa_fedoa;0;75;0
Melanerpes_hofmannii;0;0;2
Milvago_chimachima;0;2;0
Mycteria_americana;0;0;36
Myiarchus_crinitus;0;1;1
Myiarchus_panamensis;0;1;0
Myiozetetes_similis;0;2;0
Numenius_phaeopus;0;280;0
Nycticorax_nycticorax;0;1;0
Pandion_haliaetus;1;1;0
Parabuteo_unicintus;0;0;1
Parkesia_noveboracensis;1;0;0
Patagioenas_flavirostris;0;2;0
Petrochelidon_pyrrhonota;45;0;0
Peucaea_ruficauda;1;0;0
Phalacrocorax_brasilianus;2;0;0
Pitangus_sulphuratus;0;2;0
Platalea_ajaja;0;3;0
Pluvialis_squatarola;0;200;0
Progne_chalybea;15;0;0
Quiscalus_mexicanus;2;12;4
Rynchops_niger;0;56;0
Saltator_coerulescens;0;1;0
Setophaga_petechia;1;1;0
Sublegatus_arenarum;0;2;1
Thalasseus_maximus;0;60;0
Thalasseus_sandvicensis;0;5;0
Trigisoma_mexicanum;0;0;3
Tringa_flavipes;13;0;0
Tringa_semipalmata;28;145;0
Tyrannus_forficatus;0;1;0
Tyrannus_melancholicus;0;0;3
Zenaida_asiatica;2;2;1
