Especie;Orden;Familia;Estatus;Hábitos alimentarios
Columbina inca;Columbiformes;Columbidae;R;Semillas y vegetación
Columbina passerina;Columbiformes;Columbidae;R;Semillas e insectos
Leptotila verreauxi;Columbiformes;Columbidae;R;Semillas e insectos
Zenaida asiatica;Columbiformes;Columbidae;R.M;Semillas
Crotophaga sulcirostris;Cuculiformes;Cuculidae;R;Insectos
Jacana spinosa;Charadriiformes;Jacanidae;R;Peces. insectos y semillas
Jabiru mycteria;Ciconiiformes;Ciconiidae;R;Anguilas
Mycteria americana;Ciconiiformes;Ciconiidae;R.M;Peces
Trigisoma mexicanum;Pelecaniformes;Ardeidae;R;Peces. ranas y cangrejos
Ardea herodias;Pelecaniformes;Ardeidae;M;Peces. ranas y cangrejos
Ardea alba;Pelecaniformes;Ardeidae;R.M;Peces. ranas y cangrejos
Bubulcus ibis;Pelecaniformes;Ardeidae;R.M;Insectos como chapulines
Coragyps atratus;Cathartiformes;Cathartidae;R;Frutas y carroña
Cathartes aura;Cathartiformes;Cathartidae;R.M;carroña
Parabuteo unicintus;Accipitriformes;Accipitridae;R.M;Aves.lagartijas y  mamíferos pequeños
Eumomota superciliosa;Coraciiformes;Momotidae;R;Insectos. culebras pequeñas
Melanerpes hofmannii;Piciformes;Picidae;R-END;Frutas e insectos
Caracara cheriway;Falconiformes;Falconidae;R;Ranas. roedores . atrapa pichones y carroñero
Herpetotheres cachinnans;Falconiformes;Falconidae;R;Culebras (incluyendo corales venenosas). roedores y largatijas
Amazona albifrons;Psittaciformes;Psittacidae;R;Higos y semillas
Sublegatus arenarum;Oxyruncidae;Onychorhynchidae;R;Insectos y frutos
Myiarchus crinitus;Passeriformes;Tyrannidae;M;Insectos y bayas
Tyrannus melancholicus;Passeriformes;Tyrannidae;R;Frutos. mariposas e insectos pequeños
Calocitta formosa;Passeriformes;Corvidae;R;Insectos. frutos. huevos de otras aves y nectar de algunas flores grandes
Hirundo rustica;Passeriformes;Hirundinidae;M;Vegetación
Campylorhynchus rufinucha;Passeriformes;Troglodytidae;R;Insectos
