Especie;Cantidad;Lugar
Columbina inca;1;Mata Redonda
Columbina passerina;2;Mata Redonda
Leptotila verreauxi;2;Mata Redonda
Zenaida asiatica;1;Mata Redonda
Crotophaga sulcirostris;8;Mata Redonda
Jacana spinosa;2;Mata Redonda
Jabiru mycteria;21;Mata Redonda
Mycteria americana;36;Mata Redonda
Trigisoma mexicanum;3;Mata Redonda
Ardea herodias;1;Mata Redonda
Ardea alba;2;Mata Redonda
Bubulcus ibis;167;Mata Redonda
Coragyps atratus;6;Mata Redonda
Cathartes aura;5;Mata Redonda
Parabuteo unicintus;1;Mata Redonda
Eumomota superciliosa;1;Mata Redonda
Melanerpes hofmannii;2;Mata Redonda
Caracara cheriway;25;Mata Redonda
Herpetotheres cachinnans;1;Mata Redonda
Amazona albifrons;1;Mata Redonda
Sublegatus arenarum;1;Mata Redonda
Myiarchus crinitus;1;Mata Redonda
Tyrannus melancholicus;3;Mata Redonda
Calocitta formosa;1;Mata Redonda
Hirundo rustica;90;Mata Redonda
Campylorhynchus rufinucha;1;Mata Redonda
Quiscalus mexicanus;4;Mata Redonda
Patagioenas flavirostris;2;Cocorocas
Columbina inca;4;Cocorocas
Columbina passerina;1;Cocorocas
Zenaida asiatica;2;Cocorocas
Himantopus mexicanus;35;Cocorocas
Pluvialis squatarola;130;Cocorocas
Charadrius wilsonia;60;Cocorocas
Charadrius semipalmatus;35;Cocorocas
Numenius phaeopus;160;Cocorocas
Limosa fedoa;75;Cocorocas
Arenaria interpes;8;Cocorocas
Calidris minutilla;1;Cocorocas
Calidris mauri;140;Cocorocas
Limnodromus griseus;87;Cocorocas
Actitis macularis;1;Cocorocas
Tringa semipalmata;50;Cocorocas
Leucophaeus atricilla;6;Cocorocas
Gelochelidon nilotica;41;Cocorocas
Thalasseus maximus;15;Cocorocas
Thalasseus sandvicensis;5;Cocorocas
Rynchops niger;16;Cocorocas
Fregata magnificens;2;Cocorocas
Ardea alba;1;Cocorocas
Egretta thula;1;Cocorocas
Egretta caerulea;3;Cocorocas
Egretta tricolor;1;Cocorocas
Butorides virescens;1;Cocorocas
Nycticorax nycticorax;1;Cocorocas
Eudocimus albus;76;Cocorocas
Platalea ajaja;3;Cocorocas
Coragyps atratus;15;Cocorocas
Cathartes aura;1;Cocorocas
Pandion haliaetus;1;Cocorocas
Buteogallus anthracinus;1;Cocorocas
Buteo plagiatus;1;Cocorocas
Buteo albonotatus;1;Cocorocas
Milvago chimachima;1;Cocorocas
Brotogeris jugularis;4;Cocorocas
Amazona albifrons;1;Cocorocas
Eupsittula canicularis;3;Cocorocas
Sublegatus arenarum;2;Cocorocas
Myiarchus crinitus;1;Cocorocas
Myiarchus panamensis;1;Cocorocas
Pitangus sulphuratus;2;Cocorocas
Myiozetetes similis;2;Cocorocas
Hirundo rustica;1;Cocorocas
Icterus pustulatus;1;Cocorocas
Quiscalus mexicanus;7;Cocorocas
Setophaga petechia;1;Cocorocas
Saltator coerulescens;1;Cocorocas
Columbina inca;5;Chomes
Columbina passerina;8;Chomes
Zenaida asiatica;2;Chomes
Himantopus mexicanus;107;Chomes
Charadrius semipalmatus;23;Chomes
Calidris minutilla;15;Chomes
Calidris mauri;60;Chomes
Limnodromus griseus;30;Chomes
Tringa semipalmata;28;Chomes
Tringa flavipes;13;Chomes
Leucophaeus atricilla;3;Chomes
Hydroprogne caspia;1;Chomes
Fregata magnificens;4;Chomes
Phalacrocorax brasilianus;2;Chomes
Ardea alba;1;Chomes
Egretta thula;5;Chomes
Egretta caerulea;12;Chomes
Butorides virescens;1;Chomes
Eudocimus albus;1;Chomes
Coragyps atratus;3;Chomes
Cathartes aura;3;Chomes
Pandion haliaetus;1;Chomes
Ictinia plumbea;2;Chomes
Buteogallus anthracinus;1;Chomes
Falco peregrinus;1;Chomes
Eupsittula canicularis;2;Chomes
Progne chalybea;15;Chomes
Petrochelidon pyrrhonota;45;Chomes
Campylorhynchus rufinucha;1;Chomes
Peucaea ruficauda;1;Chomes
Icterus pustulatus;1;Chomes
Quiscalus mexicanus;2;Chomes
Parkesia noveboracensis;1;Chomes
Setophaga petechia;1;Chomes
Himantopus mexicanus;50;Cocorocas
Pluvialis squatarola;70;Cocorocas
Charadrius wilsonia;20;Cocorocas
Charadrius semipalmatus;15;Cocorocas
Numenius phaeopus;120;Cocorocas
Limosa fedoa;1;Cocorocas
Arenaria interpes;140;Cocorocas
Calidris mauri;37;Cocorocas
Tringa semipalmata;45;Cocorocas
Leucophaeus atricilla;3;Cocorocas
Gelochelidon nilotica;80;Cocorocas
Thalasseus maximus;45;Cocorocas
Rynchops niger;40;Cocorocas
Egretta caerulea;25;Cocorocas
Eudocimus albus;3;Cocorocas
Milvago chimachima;1;Cocorocas
Falco columbarius;1;Cocorocas
Tyrannus forficatus;1;Cocorocas
Quiscalus mexicanus;5;Cocorocas
