Especie;Orden;Familia;Estatus;Alimentacion
Columbina inca;Columbiformes;Columbidae;R;Semillas
Columbina passerina;Columbiformes;Columbidae;R;Semillas
Leptotila verreauxi;Columbiformes;Columbidae;R;Semillas
Zenaida asiatica;Columbiformes;Columbidae;R.M;Semillas
Crotophaga sulcirostris;Cuculiformes;Cuculidae;R;Insectos
Jacana spinosa;Charadriiformes;Jacanidae;R;Insectos
Jabiru mycteria;Ciconiiformes;Ciconiidae;R;Anguilas
Mycteria americana;Ciconiiformes;Ciconiidae;R.M;Peces
Trigisoma mexicanum;Pelecaniformes;Ardeidae;R;Peces
Ardea herodias;Pelecaniformes;Ardeidae;M;Peces
Ardea alba;Pelecaniformes;Ardeidae;R.M;Peces
Bubulcus ibis;Pelecaniformes;Ardeidae;R.M;Insectos
Coragyps atratus;Cathartiformes;Cathartidae;R;Frutas
Cathartes aura;Cathartiformes;Cathartidae;R.M;carroña
Parabuteo unicintus;Accipitriformes;Accipitridae;R.M;Vertebrados
Eumomota superciliosa;Coraciiformes;Momotidae;R;Inectos
Melanerpes hofmannii;Piciformes;Picidae;R-END;Frutas
Caracara cheriway;Falconiformes;Falconidae;R;Vertebrados
Herpetotheres cachinnans;Falconiformes;Falconidae;R;Vertebrados
Amazona albifrons;Psittaciformes;Psittacidae;R;Semillas
Sublegatus arenarum;Oxyruncidae;Onychorhynchidae;R;Insectos
Myiarchus crinitus;Passeriformes;Tyrannidae;M;Insectos
Tyrannus melancholicus;Passeriformes;Tyrannidae;R;Insectos
Calocitta formosa;Passeriformes;Corvidae;R;Insectos
Hirundo rustica;Passeriformes;Hirundinidae;M;Vegetación
Campylorhynchus rufinucha;Passeriformes;Troglodytidae;R;Insectos
Quiscalus mexicanus;Passeriformes;Icteridae;R;Insectos
Patagioenas flavirostris;Columbiformes;Columbidae;R;Semillas
Himantopus mexicanus;Charadriiformes;Recurvirostridae;R.M;Crustáceos
Pluvialis squatarola;Charadriiformes;Charadriidae;M;Crustáceos
Charadrius wilsonia;Charadriiformes;Charadriidae;R.M;Crustáceos
Charadrius semipalmatus;Charadriiformes;Charadriidae;M;Moluscos
Numenius phaeopus;Charadriiformes;Scolopacidae;M;Crustáceos
Limosa fedoa;Charadriiformes;Scolopacidae;M;Vegetación
Arenaria interpes;Charadriiformes;Scolopacidae;M;Moluscos
Calidris minutilla;Charadriiformes;Scolopacidae;M;Moluscos
Calidris mauri;Charadriiformes;Scolopacidae;M;Moluscos
Limnodromus griseus;Charadriiformes;Scolopacidae;M;Moluscos
Actitis macularius;Charadriiformes;Scolopacidae;M;Insectos
Tringa semipalmata;Charadriiformes;Scolopacidae;M;Crustáceos
Leucophaeus atricilla;Charadriiformes;Laridae;M;Peces
Gelochelidon nilotica;Charadriiformes;Laridae;M;Crustáceos
Thalasseus maximus;Charadriiformes;Laridae;M;Peces
Thalasseus sandvicensis;Charadriiformes;Laridae;M;Peces
Rynchops niger;Charadriiformes;Laridae;M;Crustáceos
Fregata magnificens;Suliformes;Fregatidae;R ;Peces
Egretta thula;Pelecaniformes;Ardeidae;R.M;Peces
Egretta caerulea;Pelecaniformes;Ardeidae;R.M;Peces
